config,run,reward_mean,reward_std,time,cpu_mean,gpu_mean
base,1,-1317.9142985839803,54.728569489169566,74.05867099761963,1.8674726562500001,0.0
base,2,-1366.7528622334598,51.062227186703296,70.54796552658081,2.00241796875,0.0
base,3,-1340.6339603905483,77.43868842742232,71.10871505737305,1.8828222656250002,0.0
base,4,-1355.3622524183804,75.66633512507069,71.36467337608337,2.0222949218750004,0.0
base,5,-1387.426325257275,80.39489895637693,103.23267459869385,4.171638671875,0.0
